Product Name,Price,Description,Rating,RAM_GB,ROM_GB,Screen_cm,Rear_Camera_MP,Front_Camera_MP,Battery_mAh,Is_5G,Price_INR,Brand
"hmd Vibe 5G (Purple, 128 GB)","₹9,999",4 GB RAM | 128 GB ROM16.94 cm (6.67 inch) Display50MP Rear Camera5000 mAh Battery1 Year Replacement,4.2,4.0,128.0,16.94,50.0,8.0,5000.0,0.0,9999.0,hmd
"POCO C51 (Power Black, 64 GB)","₹8,499",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.56 cm (6.52 inch) HD+ Display8MP Dual Rear Camera | 5MP Front Camera5000 mAh BatteryHelio G36 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,3.9,4.0,64.0,16.56,26.8,5.0,5000.0,0.0,8499.0,Poco
"Nokia C32 (Beach Pink, 128 GB)","₹10,999",4 GB RAM | 128 GB ROM16.55 cm (6.517 inch) Full HD+ Display50MP Rear Camera | 8MP Front Camera5000 mAh BatterySC9863A1 Processor1YR BRAND WARRANTY ON HANDSET & 6 MONTHS WARRANTY ON ACCESSORIES,4.3,4.0,128.0,16.55,50.0,8.0,5000.0,0.0,10999.0,Nokia
"Motorola g04s (Sunrise Orange, 64 GB)","₹9,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryT606 Processor1 Year on Handset and 6 Months on Accessories,4.3,4.0,64.0,16.76,50.0,5.0,5000.0,0.0,9999.0,Motorola
"realme C33 (Sandy Gold, 64 GB)","₹9,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.51 cm (6.5 inch) HD+ Display50MP + 0.3MP | 5MP Front Camera5000 mAh Lithium Ion BatteryUnisoc T612 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In-Box Accessories,4.2,4.0,64.0,16.51,43.2,5.0,5000.0,0.0,9999.0,realme
"Infinix HOT 30i (Glacier Blue, 128 GB)","₹9,499",8 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) HD+ Display50MP + AI Lens | 5MP Front Camera5000 mAh BatteryG37 Processor1 Year on Handset and 6 Months on Accessories,4.3,8.0,128.0,16.76,61.6,5.0,5000.0,0.0,9499.0,Infinix
"REDMI A1+ (Light Blue, 32 GB)","₹9,999",2 GB RAM | 32 GB ROM | Expandable Upto 512 GB16.56 cm (6.52 inch) HD+ Display8MP Rear Camera | 5MP Front Camera5000 mAh Lithium Polymer BatteryMediatek Helio A22 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,4.3,2.0,32.0,16.56,8.0,5.0,5000.0,0.0,9999.0,Redmi
"LAVA Bold N1 5G (Champagne Gold, 128 GB)","₹8,980",4 GB RAM | 128 GB ROM17.02 cm (6.7 inch) Display13MP Rear Camera5000 mAh Battery1 Year Handset Warranty and 6 Months Warranty on Accessories,4.0,4.0,128.0,17.02,13.0,8.0,5000.0,0.0,8980.0,LAVA
"Redmi 9 (Sky Blue, 64 GB)","₹9,999",4 GB RAM | 64 GB ROM16.59 cm (6.53 inch) HD+ Display13MP + 2MP | 5MP Front Camera5000 mAh BatteryMediaTek Helio G35 Processor1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,4.4,4.0,64.0,16.59,43.2,5.0,5000.0,0.0,9999.0,Redmi
"POCO C55 (Forest Green, 64 GB)","₹9,499",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.04 cm (6.71 inch) HD+ Display50MP Dual Rear Camera | 5MP Front Camera5000 mAh BatteryMediatek Helio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3,4.0,64.0,17.04,55.6,5.0,5000.0,0.0,9499.0,Poco
"REDMI 10 (Midnight Black, 64 GB)","₹9,490",4 GB RAM | 64 GB ROM17.02 cm (6.7 inch) Display50MP Rear Camera6000 mAh BatteryDomestic 1 Year of Device & 6 Months for In-Box Accessories,4.1,4.0,64.0,17.02,50.0,8.0,6000.0,0.0,9490.0,Redmi
"POCO C55 (Power Black, 64 GB)","₹9,499",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.04 cm (6.71 inch) HD+ Display50MP Dual Rear Camera | 5MP Front Camera5000 mAh BatteryMediatek Helio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3,4.0,64.0,17.04,55.6,5.0,5000.0,0.0,9499.0,Poco
"POCO C51 - Locked with Airtel Prepaid (Power Black, 64 GB)","₹8,499",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.56 cm (6.52 inch) HD+ Display8MP Dual Rear Camera | 5MP Front Camera5000 mAh BatteryHelio G36 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,4.2,4.0,64.0,16.56,26.8,5.0,5000.0,0.0,8499.0,Poco
"POCO C51 (Royal Blue, 128 GB)","₹8,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.56 cm (6.52 inch) HD+ Display8MP Rear Camera | 5MP Front Camera5000 mAh Lithium Polymer BatteryHelio G36 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.0,6.0,128.0,16.56,8.0,5.0,5000.0,0.0,8999.0,Poco
"LAVA Z4 (Flame Red, 64 GB)","₹10,499",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB16.55 cm (6.517 inch) HD+ Display13MP + 5MP + 2MP | 16MP Front Camera5000 mAh Li-Polymer BatteryMediaTek Helio G35 Processor1 Year Handset Warranty and 6 Months Warranty on Accessories,4.2,4.0,64.0,16.55,42.2,16.0,5000.0,0.0,10499.0,LAVA
"POCO C51 (Power Black, 128 GB)","₹8,999",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB16.56 cm (6.52 inch) HD+ Display8MP Rear Camera | 5MP Front Camera5000 mAh Lithium Polymer BatteryHelio G36 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.2,6.0,128.0,16.56,8.0,5.0,5000.0,0.0,8999.0,Poco
"POCO M6 5G (Polaris Green, 128 GB)","₹11,499",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryMediatek Dimensity 6100+ Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.3,6.0,128.0,17.12,50.0,5.0,5000.0,0.0,11499.0,Poco
"Samsung GALAXY M13 (Aqua Green, 64 GB)","₹9,499",4 GB RAM | 64 GB ROM16.76 cm (6.6 inch) Display50MP Rear Camera6000 mAh Battery1 Year Warranty,1.0,4.0,64.0,16.76,50.0,8.0,6000.0,0.0,9499.0,Samsung
"REDMI 12C (Mint Green, 64 GB)","₹7,499",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.04 cm (6.71 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryHelio G85 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,4.4,4.0,64.0,17.04,50.0,5.0,5000.0,0.0,7499.0,Redmi
"realme Narzo N55 (Prime Blue, 128 GB)","₹9,292",6 GB RAM | 128 GB ROM17.07 cm (6.72 inch) Display64MP Rear Camera5000 mAh Battery1 Year Domestic Warranty for Phone and 6 Months Warranty for In-Box Accessories,5.0,6.0,128.0,17.07,64.0,8.0,5000.0,0.0,9292.0,realme
"REDMI A3X (Olive Green, 128 GB)","₹7,150",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.04 cm (6.71 inch) HD+ Display8MP Rear Camera | 5MP Front Camera5000 mAh Battery1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,5.0,4.0,128.0,17.04,8.0,5.0,5000.0,0.0,7150.0,Redmi
"POCO M6 5G (Galactic Black, 64 GB)","₹8,999",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB17.12 cm (6.74 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryMediatek Dimensity 6100+ Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,3.0,4.0,64.0,17.12,50.0,5.0,5000.0,0.0,8999.0,Poco
"LAVA Z4 (Aqua Blue, 64 GB)","₹9,999",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB16.55 cm (6.517 inch) HD+ Display13MP + 5MP + 2MP | 16MP Front Camera5000 mAh Li-Polymer BatteryMediaTek Helio G35 Processor1 Year Handset Warranty and 6 Months Warranty on Accessories,4.2,4.0,64.0,16.55,41.8,16.0,5000.0,0.0,9999.0,LAVA
"REDMI A3 (Lake Blue, 128 GB)","₹7,599",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.04 cm (6.71 inch) HD+ Display8MP Rear Camera | 5MP Front Camera5000 mAh BatteryMediatek Helio G36 Processor1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories,3.8,4.0,128.0,17.04,8.0,5.0,5000.0,0.0,7599.0,Redmi
"Samsung Galaxy A13 (Blue, 64 GB)","₹13,499",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB16.76 cm (6.6 inch) Full HD+ Display50MP + 5MP + 2MP + 2MP | 8MP Front Camera5000 mAh Lithium Ion BatteryExynos Octa Core Processor1 Year Manufacturer Warranty for Device and 6 months Manufacturer Warranty for In-Box Accessories from Date of Purchase,4.1,4.0,64.0,16.76,46.4,8.0,5000.0,0.0,13499.0,Samsung
"MOTOROLA Signature (PANTONE Martini Olive, 256 GB)","₹59,999",12 GB RAM | 256 GB ROM17.27 cm (6.8 inch) Super HD Display50MP + 50MP + 50MP | 50MP Front Camera5200 mAh Battery8 Gen 5 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.3,12.0,256.0,17.27,50.0,50.0,5200.0,0.0,59999.0,Motorola
"MOTOROLA Signature (PANTONE Martini Olive, 1 TB)","₹69,999",16 GB RAM | 1 TB ROM17.27 cm (6.8 inch) Super HD Display50MP + 50MP + 50MP | 50MP Front Camera5200 mAh Battery8 Gen 5 Processor1 Year Warranty on Handset and 6 Months Warranty on Accessories,4.3,16.0,307.2,17.27,50.0,50.0,5200.0,0.0,69999.0,Motorola
"Ai+ Nova 5G (Sparkle Red, 128 GB)","₹8,499",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB17.13 cm (6.745 inch) HD+ Display50MP Rear Camera | 5MP Front Camera5000 mAh BatteryT8200 Processor1 Year Warranty on Handset and 6 Months Warranty on the Inbox Accessories,4.3,6.0,128.0,17.13,50.0,5.0,5000.0,0.0,8499.0,Ai+
"Samsung Galaxy F06 5G (Lit Violet, 64 GB)","₹8,999",4 GB RAM | 64 GB ROM | Expandable Upto 1500 GB17.02 cm (6.7 inch) HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryDimensity 6300 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.2,4.0,64.0,17.02,76.0,8.0,5000.0,0.0,8999.0,Samsung
"Samsung Galaxy S24 5G Snapdragon (Marble Gray, 128 GB)","₹42,999",8 GB RAM | 128 GB ROM15.75 cm (6.2 inch) Full HD+ Display50MP + 12MP | 12MP Front Camera4000 mAh Battery8 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,4.2,8.0,128.0,15.75,50.0,12.0,4000.0,0.0,42999.0,Samsung
"Samsung Galaxy M07 (Black, 64 GB)","₹7,775",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.02 cm (6.7 inch) HD+ Display50MP + 2MP | 8MP Front Camera5000 mAh BatteryHelio G99 Processor1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,3.9,4.0,64.0,17.02,39.0,8.0,5000.0,0.0,7775.0,Samsung
"vivo Y19e (Titanium Silver, 64 GB)","₹8,999",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.12 cm (6.74 inch) Display13MP + 0.08MP | 5MP Front Camera5500 mAh BatteryT7225 Processor1 Year Warranty on the Product and 6 Months Warranty on the Accessories,4.4,4.0,64.0,17.12,76.0,5.0,5500.0,0.0,8999.0,vivo
"vivo Y19e (Majestic Green, 64 GB)","₹8,999",4 GB RAM | 64 GB ROM | Expandable Upto 2 TB17.12 cm (6.74 inch) Display13MP + 0.08MP | 5MP Front Camera5500 mAh BatteryT7225 Processor1 Year Warranty on the Product and 6 Months Warranty on the Accessories,4.3,4.0,64.0,17.12,76.0,5.0,5500.0,0.0,8999.0,vivo
